mutation_name,dataset,category,partition,sem_dr,ens_dr,ks_dr,ge_dr
power__constant_segment_2h,power,quality,held_out,1.0,0.0,0.0,0.0
power__extreme_outliers_50,power,quality,development,1.0,0.0,0.0,0.0
power__inject_spikes_100_3.0,power,quality,development,1.0,0.0,0.0,0.0
power__scale_active_1.1,power,scaling,development,1.0,1.0,1.0,0.0
power__scale_voltage_0.5,power,scaling,held_out,1.0,1.0,1.0,1.0
power__column_swap_voltage_intensity,power,structural,development,1.0,1.0,1.0,1.0
power__data_repetition_5x,power,structural,development,1.0,0.0,0.0,1.0
power__missing_6hour_segment,power,structural,development,1.0,0.0,0.0,0.0
power__sign_flip_reactive,power,structural,development,1.0,1.0,1.0,1.0
power__shift_by_1week,power,temporal,development,1.0,0.0,0.0,0.0
power__shuffle_within_day,power,temporal,development,1.0,1.0,0.0,0.0
stock__noise_0.01,stock,quality,held_out,0.0,0.0,0.0,0.0
stock__zero_volume_30pct,stock,quality,held_out,1.0,1.0,1.0,1.0
stock__shift_price_0.5,stock,scaling,development,1.0,0.0,0.0,0.0
stock__unit_conversion_x10,stock,scaling,development,1.0,1.0,1.0,1.0
stock__column_swap_open_close,stock,structural,development,1.0,0.0,0.0,0.0
stock__drop_5pct,stock,structural,held_out,1.0,0.0,0.0,0.0
stock__reverse_series,stock,temporal,held_out,1.0,1.0,0.0,0.0
stock__timestamp_lag_1day,stock,temporal,held_out,1.0,0.0,0.0,0.0
walmart__wrong_aggregation_x7,walmart,aggregation,development,1.0,1.0,1.0,1.0
walmart__duplicate_rows_5pct,walmart,quality,development,1.0,0.0,0.0,0.0
walmart__scale_sales_0.9,walmart,scaling,development,1.0,1.0,1.0,0.0
walmart__scale_temperature_2x,walmart,scaling,held_out,1.0,1.0,1.0,1.0
walmart__missing_recent_10pct,walmart,structural,development,1.0,1.0,1.0,0.0
walmart__missing_stores_5,walmart,structural,held_out,1.0,0.75,0.75,1.0
walmart__toggle_holiday,walmart,structural,development,1.0,1.0,1.0,1.0
walmart__shift_dates_-7,walmart,temporal,development,1.0,0.0,0.0,1.0
walmart__shift_dates_7,walmart,temporal,development,1.0,0.0,0.0,1.0
