mutation_name,dataset,category,sem_dr,ens_dr,ks_dr,ge_dr,sem_match_rate,n_seeds
power__constant_segment_2h,power,quality,1.0,0.0,0.0,0.0,1.0,4
power__extreme_outliers_50,power,quality,1.0,0.0,0.0,0.0,1.0,4
power__inject_spikes_100_3.0,power,quality,1.0,0.0,0.0,0.0,1.0,4
power__scale_active_1.1,power,scaling,1.0,1.0,1.0,0.0,1.0,4
power__scale_voltage_0.5,power,scaling,1.0,1.0,1.0,1.0,1.0,4
power__column_swap_voltage_intensity,power,structural,1.0,1.0,1.0,1.0,1.0,4
power__data_repetition_5x,power,structural,1.0,0.0,0.0,1.0,1.0,4
power__missing_6hour_segment,power,structural,1.0,0.0,0.0,0.0,1.0,4
power__sign_flip_reactive,power,structural,1.0,1.0,1.0,1.0,1.0,4
power__shift_by_1week,power,temporal,1.0,0.0,0.0,0.0,1.0,4
power__shuffle_within_day,power,temporal,1.0,1.0,0.0,0.0,1.0,4
stock__noise_0.01,stock,quality,0.0,0.0,0.0,0.0,,4
stock__zero_volume_30pct,stock,quality,1.0,1.0,1.0,1.0,1.0,4
stock__shift_price_0.5,stock,scaling,1.0,0.0,0.0,0.0,1.0,4
stock__unit_conversion_x10,stock,scaling,1.0,1.0,1.0,1.0,1.0,4
stock__column_swap_open_close,stock,structural,1.0,0.0,0.0,0.0,1.0,4
stock__drop_5pct,stock,structural,1.0,0.0,0.0,0.0,0.0,4
stock__reverse_series,stock,temporal,1.0,1.0,0.0,0.0,1.0,4
stock__timestamp_lag_1day,stock,temporal,1.0,0.0,0.0,0.0,1.0,4
walmart__wrong_aggregation_x7,walmart,aggregation,1.0,1.0,1.0,1.0,1.0,4
walmart__duplicate_rows_5pct,walmart,quality,1.0,0.0,0.0,0.0,1.0,4
walmart__scale_sales_0.9,walmart,scaling,1.0,1.0,1.0,0.0,1.0,4
walmart__scale_temperature_2x,walmart,scaling,1.0,1.0,1.0,1.0,1.0,4
walmart__missing_recent_10pct,walmart,structural,1.0,1.0,1.0,0.0,1.0,4
walmart__missing_stores_5,walmart,structural,1.0,0.75,0.75,1.0,1.0,4
walmart__toggle_holiday,walmart,structural,1.0,1.0,1.0,1.0,1.0,4
walmart__shift_dates_-7,walmart,temporal,1.0,0.0,0.0,1.0,1.0,4
walmart__shift_dates_7,walmart,temporal,1.0,0.0,0.0,1.0,1.0,4
